hole_cards,win_probability
4D 2H,0.33147
4D 2D,0.371025
4D 2C,0.331415
4D 2S,0.33438
4D 3H,0.352285
4D 3D,0.38715
4D 3C,0.35097
4D 3S,0.353265
4D 4H,0.571475
4D 4C,0.569275
4D 4S,0.567605
4D 5H,0.381755
4D 5D,0.41305
4D 5C,0.38274
4D 5S,0.379675
4D 6H,0.379885
4D 6D,0.415065
4D 6C,0.37775
4D 6S,0.379755
4D 7H,0.386815
4D 7D,0.419955
4D 7C,0.386725
4D 7S,0.384545
4D 8H,0.395845
4D 8D,0.427325
4D 8C,0.39242
4D 8S,0.39256
4D 9H,0.406885
4D 9D,0.44073
4D 9C,0.406105
4D 9S,0.40922
4D TH,0.434255
4D TD,0.46487
4D TC,0.43613
4D TS,0.435165
4D JH,0.46248
4D JD,0.49032
4D JC,0.462295
4D JS,0.460515
4D QH,0.49062
4D QD,0.51616
4D QC,0.49294
4D QS,0.492045
4D KH,0.523515
4D KD,0.549065
4D KC,0.523275
4D KS,0.523665
4D AH,0.5678
4D AD,0.592195
4D AC,0.56705
4D AS,0.565915
4C 2H,0.33263
4C 2D,0.331955
4C 2C,0.3677
4C 2S,0.33187
4C 3H,0.352145
4C 3D,0.35184
4C 3C,0.385245
4C 3S,0.352975
4C 4H,0.56805
4C 4D,0.56987
4C 4S,0.570315
4C 5H,0.38304
4C 5D,0.380915
4C 5C,0.41857
4C 5S,0.37944
4C 6H,0.381515
4C 6D,0.37744
4C 6C,0.41229
4C 6S,0.3783
4C 7H,0.38389
4C 7D,0.3881
4C 7C,0.41613
4C 7S,0.385435
4C 8H,0.39506
4C 8D,0.39492
4C 8C,0.425035
4C 8S,0.394445
4C 9H,0.40792
4C 9D,0.406105
4C 9C,0.438895
4C 9S,0.40944
4C TH,0.434685
4C TD,0.437645
4C TC,0.465635
4C TS,0.43438
4C JH,0.46135
4C JD,0.46187
4C JC,0.49025
4C JS,0.46108
4C QH,0.492825
4C QD,0.49433
4C QC,0.517765
4C QS,0.490915
4C KH,0.52101
4C KD,0.523425
4C KC,0.548355
4C KS,0.521555
4C AH,0.56845
4C AD,0.564965
4C AC,0.58846
4C AS,0.56611
4S 2H,0.330885
4S 2D,0.329655
4S 2C,0.329955
4S 2S,0.37085
4S 3H,0.352145
4S 3D,0.35228
4S 3C,0.35218
4S 3S,0.38285
4S 4H,0.56977
4S 4D,0.567825
4S 4C,0.570195
4S 5H,0.383365
4S 5D,0.37779
4S 5C,0.381595
4S 5S,0.41777
4S 6H,0.380005
4S 6D,0.38037
4S 6C,0.37987
4S 6S,0.41412
4S 7H,0.383275
4S 7D,0.38764
4S 7C,0.38448
4S 7S,0.420445
4S 8H,0.397035
4S 8D,0.39506
4S 8C,0.3933
4S 8S,0.42428
4S 9H,0.40771
4S 9D,0.408915
4S 9C,0.406095
4S 9S,0.43788
4S TH,0.43383
4S TD,0.43552
4S TC,0.43658
4S TS,0.46347
4S JH,0.460165
4S JD,0.463295
4S JC,0.4602
4S JS,0.49152
4S QH,0.49006
4S QD,0.493285
4S QC,0.49266
4S QS,0.517715
4S KH,0.52374
4S KD,0.52285
4S KC,0.522275
4S KS,0.548475
4S AH,0.566925
4S AD,0.565855
4S AC,0.56853
4S AS,0.59151
5H 2H,0.378895
5H 2D,0.34168
5H 2C,0.34072
5H 2S,0.344645
5H 3H,0.39631
5H 3D,0.36227
5H 3C,0.363215
5H 3S,0.362235
5H 4H,0.41483
5H 4D,0.380935
5H 4C,0.38206
5H 4S,0.38157
5H 5D,0.59961
5H 5C,0.603015
5H 5S,0.604635
5H 6H,0.431915
5H 6D,0.39936
5H 6C,0.3976
5H 6S,0.40045
5H 7H,0.4359
5H 7D,0.40298
5H 7C,0.40566
5H 7S,0.40499
5H 8H,0.44673
5H 8D,0.41658
5H 8C,0.413015
5H 8S,0.416415
5H 9H,0.46092
5H 9D,0.42772
5H 9C,0.42695
5H 9S,0.426635
5H TH,0.475
5H TD,0.4413
5H TC,0.44003
5H TS,0.4424
5H JH,0.49945
5H JD,0.471705
5H JC,0.47009
5H JS,0.47348
5H QH,0.527105
5H QD,0.50378
5H QC,0.5009
5H QS,0.50056
5H KH,0.558535
5H KD,0.536015
5H KC,0.53344
5H KS,0.534195
5H AH,0.600435
5H AD,0.574395
5H AC,0.57713
5H AS,0.579485
5D 2H,0.344355
5D 2D,0.3793
5D 2C,0.34374
5D 2S,0.3427
5D 3H,0.36395
5D 3D,0.39625
5D 3C,0.36178
5D 3S,0.362845
5D 4H,0.382445
5D 4D,0.416575
5D 4C,0.381515
5D 4S,0.3827
5D 5H,0.60154
5D 5C,0.60522
5D 5S,0.60221
5D 6H,0.39955
5D 6D,0.43039
5D 6C,0.399015
5D 6S,0.40209
5D 7H,0.405225
5D 7D,0.43596
5D 7C,0.404815
5D 7S,0.40698
5D 8H,0.413075
5D 8D,0.444205
5D 8C,0.4147
5D 8S,0.412355
5D 9H,0.42808
5D 9D,0.456995
5D 9C,0.427985
5D 9S,0.4257
5D TH,0.44494
5D TD,0.472965
5D TC,0.442115
5D TS,0.44293
5D JH,0.47252
5D JD,0.50231
5D JC,0.47334
5D JS,0.472505
5D QH,0.50079
5D QD,0.526995
5D QC,0.50085
5D QS,0.502425
5D KH,0.533055
5D KD,0.55528
5D KC,0.53403
5D KS,0.53035
5D AH,0.57849
5D AD,0.598795
5D AC,0.576
5D AS,0.57487
5C 2H,0.34325
5C 2D,0.344835
5C 2C,0.3803
5C 2S,0.341885
5C 3H,0.363975
5C 3D,0.36372
5C 3C,0.398985
5C 3S,0.366395
5C 4H,0.38076
5C 4D,0.381115
5C 4C,0.41262
5C 4S,0.38113
5C 5H,0.604025
5C 5D,0.601865
5C 5S,0.60266
5C 6H,0.400645
5C 6D,0.401235
5C 6C,0.429845
5C 6S,0.397165
5C 7H,0.405275
5C 7D,0.406825
5C 7C,0.439175
5C 7S,0.406805
5C 8H,0.41405
5C 8D,0.414815
5C 8C,0.44603
5C 8S,0.41567
5C 9H,0.428655
5C 9D,0.42733
5C 9C,0.454155
5C 9S,0.42799
5C TH,0.44566
5C TD,0.446535
5C TC,0.4711
5C TS,0.44219
5C JH,0.473355
5C JD,0.469125
5C JC,0.498345
5C JS,0.47381
5C QH,0.500995
5C QD,0.499675
5C QC,0.527265
5C QS,0.49986
5C KH,0.533395
5C KD,0.53069
5C KC,0.554875
5C KS,0.53305
5C AH,0.57766
5C AD,0.57608
5C AC,0.600085
5C AS,0.57799
5S 2H,0.34029
5S 2D,0.34486
5S 2C,0.342415
5S 2S,0.3794
5S 3H,0.361585
5S 3D,0.36342
5S 3C,0.363405
5S 3S,0.398425
5S 4H,0.38224
5S 4D,0.3818
5S 4C,0.381805
5S 4S,0.4118
5S 5H,0.604055
5S 5D,0.60133
5S 5C,0.60195
5S 6H,0.398625
5S 6D,0.40222
5S 6C,0.3992
5S 6S,0.431805
5S 7H,0.402385
5S 7D,0.40729
5S 7C,0.405005
5S 7S,0.438625
5S 8H,0.413755
5S 8D,0.4145
5S 8C,0.413085
5S 8S,0.446005
5S 9H,0.427385
5S 9D,0.42486
5S 9C,0.425305
5S 9S,0.45544
5S TH,0.443775
5S TD,0.442625
5S TC,0.440235
5S TS,0.47185
5S JH,0.475415
5S JD,0.47034
5S JC,0.471805
5S JS,0.50119
5S QH,0.50216
5S QD,0.499285
5S QC,0.5022
5S QS,0.527965
5S KH,0.533555
5S KD,0.534265
5S KC,0.535235
5S KS,0.55807
5S AH,0.57717
5S AD,0.57523
5S AC,0.579195
5S AS,0.59918
6H 2H,0.378635
6H 2D,0.342055
6H 2C,0.34154
6H 2S,0.34082
6H 3H,0.395645
6H 3D,0.36514
6H 3C,0.364945
6H 3S,0.36144
6H 4H,0.413365
6H 4D,0.38173
6H 4C,0.377775
6H 4S,0.37695
6H 5H,0.43044
6H 5D,0.399745
6H 5C,0.401095
6H 5S,0.399205
6H 6D,0.63239
6H 6C,0.63366
6H 6S,0.63211
